review_id,review_date,like_count,review_length,review
38115579,2026-02-18,0,16,왕과 사는 남자 3.0/5.0
38096967,2026-02-15,1,70,"이렇게 무거운 주제를 
이렇게 한없이 가볍고 천박하게 할꺼면 
도대체 왜 만든거야

AI호랑이 나왔을때부터 알아봤어야 했어.."
38067451,2026-02-09,2,30,영화는 그냥 볼만했는데 오달수 배우가 나오는게 별로네요
38188170,2026-03-09,2,87,"기대를 많이 해서 그런지 다소 아쉽네요..초반부분 빠르게 전개되는 편집과 퀄리티 낮은 호랑이cg, 그리고 마지막 신파로 급하게 끝나는 부분이 너무 아쉽네요."
38197501,2026-03-13,3,36,"전개가 너무 평이해서 지루했어요.
유해진 연극 보러간 느낌이었음."
38162687,2026-03-02,2,67,이런 영화가 천만을 찍어버리면 앞으로도 저런 퀄리티의 영화가 나올 것이 아니냐? 같은 불만이 생기는 건 어쩔 수가 없구만
38197155,2026-03-13,1,30,"연기를 아무리 잘 해도
감독 역량이 부족하면 다 묻힌다"
38190343,2026-03-10,0,10,이딴게 1000만?
38174408,2026-03-05,5,61,"딱 장항준 스러운 영화.
가볍기만하다 마직막 유해진 표정연기로 만족했다.
왜 이렇게 다들 난리인지 모르겠는걸~"
38133668,2026-02-22,6,38,연기는 좋으나 중간 서사가 애매함. 감독이 배우들의 역량을 못살린느낌
38181075,2026-03-07,1,20,B급영화 시간낭비 대충만든 저예산영화
38185415,2026-03-08,0,12,호랑이 정말 최악이었음
38068099,2026-02-09,0,12,배우연기말고 볼게없네요
38116952,2026-02-18,1,21,역사 이용 드라마화 공감 어려웠음 ㅜㅜ
38142551,2026-02-25,1,31,최악의 영화는 아니지만...결국에는 한국인 다 아는 내용
38161179,2026-03-02,3,115,"강원도 배경에 유창한 표준어, 시대를 거스른 CG, 꼬질한 얼굴에 라미네이트~
미안합니다만~ 억지스러워서 몰입이 안되었습니다.
단종 박지훈님, 금성 이준혁님 정도만 제몫 하신듯! 7백만 넘길 영화는 아닌듯요"
38200349,2026-03-14,0,109,보통이다 재미로만 따지면 천만 찍을 영화가 아니였지만 그동안 단종을 중심으로 한 드라마나 영화가 없었기에 그리고 역사적으로도 단종의 죽음이 너무 측은했기에 관심이 쏠렸고 바이럴 되서 천만 찍은거지
38236094,2026-03-25,2,103,"배우 캐스팅이랑 연기는 좋았는데, 스토리 자체는 뭔가 쫌 부족한 느낌.. 쇼츠로 뜨는 것 외에는 별다를 것도 없어서 돈 주고 보기 약간 아까웠다

호랭이는 수정된 건지 찐 호랭이 같았다"
38061671,2026-02-08,1,37,진지할때는 좋은데 억지 신파랑 억지 코미디가 취향이 안맞았네요...
38230999,2026-03-23,3,37,박지훈씨가 연기를 너무 잘하셔서 몰입이 잘 됐어요. 잘 봤습니다~!
