review_date,like_count,review_length,review
2026-03-24,2,145,영화를 보는 내내 &lt;해적:바다로 간 산적&gt;의 &lt;철봉&gt;이와 &lt;달짝지근해&gt;의 &lt;치호&gt;가 &lt;엄흥도&gt;를 연기한 그냥 유해진 배우의 전형적인 말장난으로 가득한 재미도 메세지도 없는 억지 코미디 영화였다고 생각됩니다.
2026-03-15,3,127,"도대체 어떻게 1000만 갔는지 이해가 안되는 영화,, 호랑이 CG빼고는 불만이 없다는게 이해가 안되는 영화,, 오히려 호랑이 CG는 봐줄만 했을 정도,,스토리, 배우들 연기 다 1000만 영화급이 아닌데도 1000만간게 용함."
2026-03-01,0,126,"강남 3/1 9:30 영화 10:20부터 10:28 까지 화면 안나옴..

사실 영화는 넘 좋아서 어제 보고 오늘 친구랑 다시 본 건데..
이런 상영경험은 처음이었어요.

배우님과 내용이 좋지 않았더라면, 많이 화가 났겠지요?"
2026-03-21,9,125,"아.. 너무 실망스러움. 이게 왜 천만을 넘은거지...?

말도 안되는 유치한 꽁트코메디로 가다가. 어거지 신파로 마무리.  연출.연기.대사 전부 진부하고 촌스러움. CG는 쓰레기. 이게 왜..? 내가 이상한건가..? 생각함"
2026-03-02,2,122,"주제 10점. 연기 10점. 연출 5점 평타 수준입니다.
경쟁작 전무, 각종 제휴로 관람료 할인 등 상황을 고려해도  2-3백만명이 적당함.
유해진의 맨 파워와 마지막 신파(단종과 궁녀 자살) 입소문이 대흥행 이유인듯!"
2026-02-15,1,120,"25~26년  실관람중 최하.
유해진 배우의 원맨쇼 4~5씬 빼면  너무 지루하고 재미없음. 남자들은 완전 비추.
끝나고나오는 길에 대체로 남자들은 툴툴거림. 
넷플이없으면 30분보다가 끔(지극히 개인적인 평입니다)"
2026-03-21,5,119,"1000만 영화다고 보면 실망이 클수있음.
400~500만 정도느낌.. 호랑이cg 나올때 부터 실망, 하지만 유지태씨와 시중역활 여성분 연기 칭찬합니다. 유해진씨는 짐작했던 연기.. 장항준씨가 천재는 아님을 확인함"
2026-02-19,1,118,"새삼 광해가 얼마나 잘 만든 영화인지, 이병헌이 얼마나 연기를 잘 했는지 다시한번 깨닫는 시간이었습니다. 영화 연출을 뭐 80~90년대 감성으로 유치하게 찍어서 보는 맛이 없었고, 연기도 좋지는 않네요. 돈 아깝"
2026-02-22,0,118,500만 돌파했다고 해서 오랜만에 극장 갔는데 기대했던거 보다 별로였어요. 유튜브 짤에 낚였네요. 돈 아까워요. 극장까지 가서 볼 정도는 아닌거 같아요. 스토리와 연출이 너무 단조로워요. 배우들 연기는 Good!
2026-02-25,1,118,어떻게 이게 평점이 좋을수 있지.. 스토리는 분명히 초등학생이 썼거나 쓰다 만거 같아요.. 좋은 이야기를 망한 스토리로 각본한 영화네요. 배우 연기만 잘했는데.. 배우 대사도 얼척 없고.. 수준이 너무 낮아요..
2026-02-25,2,118,"‘명량’ 느낌? 완성도는 못 미치나 기저에 깔린 정서를 건드려서 극장으로 부르는. 호랑이는 진짜 와, 26년작 맞는지 의심. 그럼에도 소재 변주와 배우 연기는 훌륭. 특히ㅡ단종 눈빛은 영화를 이끄는 힘 그 자체."
2026-02-21,1,118,"이런 배우들 , 이런 서사로 이정도로 밖에 날려먹기식 연출을.... 장감독님 쫌!!! 
정말 위대하신 배우님들 연기랑 왕사남 마케팅&홍보팀에 상 줘야함요!
관상&광해 연출 반만이라도 따라가셨음 좋은영화됐을듯..."
2026-03-01,2,118,"장항준 감독... 감독으로써 별로 기대 안하는 사람인데. 타 업체에서 평점이 9점대 후반으로 나오길래... 장항준감독이 정말 잘 만들었나 보구나 하고 기대라고 봤으나... 연출 완전 후짐, 이게 9점 후반대라고?"
2026-03-04,5,118,"초반 개그들은 의외로 먹혔다.
그러나 그 뒤부터는 큰 실망감
두 인물(왕,촌장)의 서사가 너무 얕았고, 그 얕은 감정과 서사로 후반부의 감동을 끌어내려는 무리한 시도가 독이었습니다.
특히, cg는 하...ㅋㅋㅋㅋ"
2026-02-28,3,118,"연출이 너무 유치해서  아쉬움 ㅠ 
소재와 배우들은 주옥 같음 
초반에 사슴귀cg가 번쩍하고 하얗게 깨짐...이걸 그대로 상영하는게 말이 되나......
개봉시기가 신의 한수 지금 볼만한 영화가 없어서 흥행하는듯"
