period,keyword,count
초반,연기,5263
초반,배우,4002
초반,유해진,1724
초반,박지훈,1496
초반,눈물,1261
초반,봤습니다,1189
초반,오랜만에,950
초반,단종의,876
초반,단종,779
초반,좋은,742
초반,좋았습니다,716
초반,재미있게,707
초반,여운,547
초반,많이,540
초반,역사를,536
초반,배우의,521
초반,영화를,518
초반,연기도,513
초반,연기에,454
초반,다시,452
중반,연기,4078
중반,배우,3253
중반,유해진,1323
중반,눈물,1264
중반,박지훈,1160
중반,오랜만에,1035
중반,봤습니다,1003
중반,단종의,744
중반,단종,686
중반,좋았습니다,622
중반,영화를,599
중반,좋은,558
중반,많이,529
중반,여운,515
중반,역사를,471
중반,재미있게,471
중반,다시,460
중반,배우의,415
중반,연기에,411
중반,알고,398
후반,연기,1364
후반,배우,1040
후반,유해진,423
후반,눈물,420
후반,봤습니다,326
후반,오랜만에,310
후반,박지훈,308
후반,단종의,231
후반,좋았습니다,199
후반,많이,199
후반,좋은,191
후반,여운,185
후반,단종,178
후반,재미있게,177
후반,다시,168
후반,영화를,163
후반,역사를,160
후반,감동,144
후반,연기에,140
후반,알고,123
